"","TAVG","TMAX","TMIN","TOBS","DAPR","MDPR","PRCP","SNOW","SNWD","AWND","PGTM","WDF2","WDF5","DATE","NAME"
"98",45,52,39,NA,NA,NA,0,0,0,8.95,NA,330,340,"2023/4/8","LAGUARDIA AIRPORT, NY US"
"99",47,54,42,NA,NA,NA,0,0,0,9.84,NA,190,190,"2023/4/9","LAGUARDIA AIRPORT, NY US"
"100",51,65,43,NA,NA,NA,0,0,0,8.28,NA,170,170,"2023/4/10","LAGUARDIA AIRPORT, NY US"
"101",61,75,51,NA,NA,NA,0,0,0,10.07,NA,270,270,"2023/4/11","LAGUARDIA AIRPORT, NY US"
"102",71,83,66,NA,NA,NA,0,0,0,11.86,NA,310,290,"2023/4/12","LAGUARDIA AIRPORT, NY US"
"103",78,89,62,NA,NA,NA,0,0,0,9.4,NA,220,220,"2023/4/13","LAGUARDIA AIRPORT, NY US"
"104",79,89,67,NA,NA,NA,0,0,0,7.61,NA,160,190,"2023/4/14","LAGUARDIA AIRPORT, NY US"
"105",67,73,54,NA,NA,NA,0,0,0,8.72,NA,60,70,"2023/4/15","LAGUARDIA AIRPORT, NY US"
"106",59,68,53,NA,NA,NA,0,0,0,7.61,NA,50,50,"2023/4/16","LAGUARDIA AIRPORT, NY US"
"107",56,68,51,NA,NA,NA,0.01,0,0,12.08,NA,280,230,"2023/4/17","LAGUARDIA AIRPORT, NY US"
"108",55,57,47,NA,NA,NA,0,0,0,16.33,NA,300,270,"2023/4/18","LAGUARDIA AIRPORT, NY US"
"109",52,65,46,NA,NA,NA,0,0,0,11.41,NA,320,270,"2023/4/19","LAGUARDIA AIRPORT, NY US"
"110",53,63,45,NA,NA,NA,0,0,0,8.28,NA,160,50,"2023/4/20","LAGUARDIA AIRPORT, NY US"
"111",57,70,51,NA,NA,NA,0,0,0,11.18,NA,140,100,"2023/4/21","LAGUARDIA AIRPORT, NY US"
"112",55,68,50,NA,NA,NA,0.48,0,0,14.76,NA,110,60,"2023/4/22","LAGUARDIA AIRPORT, NY US"
"113",58,67,51,NA,NA,NA,1.46,0,0,8.95,NA,300,310,"2023/4/23","LAGUARDIA AIRPORT, NY US"
"114",54,62,46,NA,NA,NA,0,0,0,8.5,NA,320,310,"2023/4/24","LAGUARDIA AIRPORT, NY US"
"115",54,58,47,NA,NA,NA,0,0,0,5.82,NA,300,310,"2023/4/25","LAGUARDIA AIRPORT, NY US"
"116",53,58,47,NA,NA,NA,0,0,0,8.72,NA,180,170,"2023/4/26","LAGUARDIA AIRPORT, NY US"
"117",53,58,50,NA,NA,NA,0,0,0,7.38,NA,50,60,"2023/4/27","LAGUARDIA AIRPORT, NY US"
"118",52,57,48,NA,NA,NA,0.35,0,0,12.3,NA,100,90,"2023/4/28","LAGUARDIA AIRPORT, NY US"
"119",51,53,48,NA,NA,NA,2.49,0,0,15.66,NA,60,80,"2023/4/29","LAGUARDIA AIRPORT, NY US"
"120",53,62,50,NA,NA,NA,3.09,0,0,12.08,NA,50,50,"2023/4/30","LAGUARDIA AIRPORT, NY US"
"121",58,63,50,NA,NA,NA,0.03,0,0,15.66,NA,290,280,"2023/5/1","LAGUARDIA AIRPORT, NY US"
"122",53,57,45,NA,NA,NA,0.05,0,0,11.18,NA,270,280,"2023/5/2","LAGUARDIA AIRPORT, NY US"
"123",52,57,48,NA,NA,NA,0,0,0,8.05,NA,260,260,"2023/5/3","LAGUARDIA AIRPORT, NY US"
"124",51,56,49,NA,NA,NA,0.01,0,0,8.72,NA,50,60,"2023/5/4","LAGUARDIA AIRPORT, NY US"
"125",55,63,49,NA,NA,NA,0,0,0,6.26,NA,180,190,"2023/5/5","LAGUARDIA AIRPORT, NY US"
"126",60,73,52,NA,NA,NA,0,0,0,6.04,NA,130,350,"2023/5/6","LAGUARDIA AIRPORT, NY US"
